id,question,timmy,banky,gpt_answer,Total: 500 ; 500,93 ; 194 ; 114 ; 91,93 ; 194 ; 114 ; 91,Total: 500 ; 500,,,
1,ผมปวดท้องมาก อ้วกด้วย ตอนนี้ตีสองยังมีแผนกไหนเปิดอยู่ไหมครับ? ก. Endocrinology ข. Orthopedics ค. Emergency ง. Internal Medicine,,ค,,,brain,1,1,,1,1
2,ยา Clopidogrel mg tablet ในปี 2567 จ่ายในอัตราเท่าใดต่อเม็ดในกรณีผู้ป่วยนอก (OP)? ก. 2 บาท/เม็ด ข. 3 บาท/เม็ด ค. 4 บาท/เม็ด ง. 5 บาท/เม็ด,,ข,ข,,d3 p32,1,1,,1,1
3,ข้อใดต่อไปนี้เป็นอาการฉุกเฉินวิกฤตที่เข้าข่ายสิทธิ UCEP? ก. เจ็บหน้าอกเฉียบพลันรุนแรง ข. ปวดหัวอย่างรุนแรง ค. มีไข้สูง ง. ปวดท้องเรื้อรัง,,ก,,,google,1,1,,1,1
4,สิทธิในข้อใดที่ไม่รวมอยู่ในสิทธิประโยชน์ของผู้มีสิทธิหลักประกันสุขภาพแห่งชาติ? ก. สิทธิหลักประกันสุขภาพแห่งชาติ ข. สิทธิบัตรทอง ค. สิทธิ 30 บาทรักษาทุกโรค ง. ไม่มีข้อใดถูกต้อง,,ง,ง,,d2,1,1,,1,1
5,ค่าบริการเคลือบฟลูออไรด์ชนิดเข้มข้นสูงเฉพาะที่มีอัตราเหมาจ่ายเท่าใดต่อครั้ง? ก. 50 บาท ข. 75 บาท ค. 100 บาท ง. 150 บาท,,ค,ค,,d3 p188,1,1,,1,1
6,ในเดือนใดของปี 2568 ที่อัตราจ่ายแบบเหมาจ่ายสำหรับผู้ป่วยเบาหวานชนิดที่ 1 ต่ำที่สุด? ก. เดือนมกราคม ข. เดือนกรกฎาคม ค. เดือนสิงหาคม ง. เดือนกันยายน,,ง,ก,,d3 p162,1,1,,1,1
7,ผู้ที่ต้องการใส่ฟันปลอมต้องมีอายุเท่าใดขึ้นไป? ก. 40 ปี ข. 50 ปี ค. 60 ปี ง. ไม่ได้จำกัดอายุ,,ง,ข,,d1 p10,1,1,,1,1
8,การให้บริการสาธารณสุขระบบทางไกลมีอัตราจ่ายเท่าใดต่อครั้ง? ก. 40 บาท ข. 50 บาท ค. 60 บาท ง. 70 บาท,,ข,ค,,d3 p170,1,1,,1,1
9,คนไข้ชายอายุ 50 ปี มีอาการปวดหลัง ชาปลายมือ ปวดลงขา ควรพบหมอแผนกไหน? ก. Neurology ข. Orthopedics ค. Cardiology ง. Nephrology,,ก,,,brain,1,1,,1,1
10,หน่วยบริการใดที่สามารถให้บริการตรวจคัดกรองไวรัสตับอักเสบบีได้? ก. โรงพยาบาลเอกชนเท่านั้น ข. หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ ค. คลินิกทั่วไป ง. โรงพยาบาลต่างประเทศ,,ข,ข,,d3 p221,1,1,,1,1
11,"อัตราค่าบริการตรวจคัดกรองมะเร็งเต้านมด้วยเครื่องแมมโมแกรมและอัลตราซาวด์ไม่เกินกี่บาทต่อครั้งต่อ 2 ปี? ก. 1,200 บาท ข. 2,400 บาท ค. 3,600 บาท ง. 4,800 บาท",,ข,ค,,d3 p191,1,1,,1,1
12,คนไข้ P020 ชาย อายุ 47 ปี ใช้ประกัน โตเกียวมารีนประกัน มีอาการปวดหลังเรื้อรัง ประกันครอบคลุมการรักษาที่แผนกออร์โธปิดิกส์หรือไม่? ก. ครอบคลุม ข. ไม่ครอบคลุม ค. ครอบคลุมบางส่วน ง. ต้องเช็คกับประกัน,,ง,,,,1,1,,1,1
